color,precipIntensity,precipProbability,summary,temperature,timestamp,visibility,windSpeed
yellow,0.0,0.0,Overcast,55.07,2017-10-21 19:00:00,6.216,13.3
yellow,0.0,0.0,Mostly Cloudy,54.51,2017-10-21 20:00:00,6.216,12.86
yellow,0.0,0.0,Overcast,54.38,2017-10-21 21:00:00,6.216,11.82
yellow,0.0,0.0,Overcast,53.63,2017-10-21 22:00:00,6.216,10.84
yellow,0.0,0.0,Overcast,53.7,2017-10-21 23:00:00,6.216,9.63
yellow,0.0,0.0,Mostly Cloudy,53.8,2017-10-22 00:00:00,6.216,11.07
yellow,0.0,0.0,Mostly Cloudy,53.37,2017-10-22 01:00:00,6.216,12.19
yellow,0.0,0.0,Mostly Cloudy,53.24,2017-10-22 02:00:00,6.216,10.98
yellow,0.0,0.0,Mostly Cloudy,52.46,2017-10-22 03:00:00,6.216,8.3
yellow,0.0,0.0,Mostly Cloudy,51.87,2017-10-22 04:00:00,6.216,8.63
yellow,0.0,0.0,Mostly Cloudy,51.26,2017-10-22 05:00:00,6.216,10.31
yellow,0.0,0.0,Mostly Cloudy,50.45,2017-10-22 06:00:00,6.216,11.08
yellow,0.0,0.0,Mostly Cloudy,49.66,2017-10-22 07:00:00,6.216,10.51
yellow,0.0,0.0,Mostly Cloudy,49.54,2017-10-22 08:00:00,6.216,11.83
yellow,0.0,0.0,Mostly Cloudy,50.32,2017-10-22 09:00:00,6.216,12.38
yellow,0.0,0.0,Partly Cloudy,51.17,2017-10-22 10:00:00,6.216,12.36
yellow,0.0,0.0,Partly Cloudy,52.01,2017-10-22 11:00:00,6.216,12.6
yellow,0.0,0.0,Mostly Cloudy,53.33,2017-10-22 12:00:00,6.216,13.72
yellow,0.0,0.0,Mostly Cloudy,53.92,2017-10-22 13:00:00,6.216,13.05
yellow,0.0,0.0,Overcast,54.22,2017-10-22 14:00:00,6.216,13.28
yellow,0.0,0.0,Overcast,54.94,2017-10-22 15:00:00,6.216,12.94
yellow,0.0,0.0,Mostly Cloudy,55.44,2017-10-22 16:00:00,6.216,11.84
yellow,0.0,0.0,Mostly Cloudy,54.47,2017-10-22 17:00:00,6.216,10.62
green,0.0,0.0,Partly Cloudy,47.64,2017-10-22 22:00:00,6.216,4.48
green,0.0,0.0,Clear,47.47,2017-10-22 23:00:00,6.216,5.7
green,0.0,0.0,Clear,47.6,2017-10-23 00:00:00,6.216,6.12
green,0.0,0.0,Overcast,47.99,2017-10-23 01:00:00,6.216,5.1
green,0.0,0.0,Mostly Cloudy,48.11,2017-10-23 02:00:00,6.216,5.61
green,0.0,0.0,Mostly Cloudy,48.55,2017-10-23 03:00:00,6.216,5.07
green,0.0,0.0,Overcast,48.31,2017-10-23 04:00:00,6.216,3.96
