color,precipIntensity,precipProbability,summary,temperature,timestamp,visibility,windSpeed
green,0.0,0.0,Mostly Cloudy,53.64,2012-05-07 12:00:00,6.216,7.76
green,0.0,0.0,Mostly Cloudy,52.76,2012-05-07 13:00:00,6.216,7.53
green,0.01,0.59,Possible Drizzle,51.78,2012-05-07 14:00:00,4.974,3.97
green,0.011,0.71,Drizzle,51.41,2012-05-07 15:00:00,6.216,5.47
green,0.003,0.59,Possible Drizzle,51.97,2012-05-07 16:00:00,5.778,5.63
green,0.0,0.0,Mostly Cloudy,52.55,2012-05-07 17:00:00,6.216,7.91
green,0.0,0.0,Mostly Cloudy,54.41,2012-05-07 18:00:00,6.216,5.7
green,0.0,0.0,Mostly Cloudy,53.84,2012-05-07 19:00:00,6.216,4.74
green,0.0,0.0,Mostly Cloudy,54.24,2012-05-07 20:00:00,6.216,6.19
green,0.0,0.0,Partly Cloudy,52.79,2012-05-07 21:00:00,6.209,6.74
green,0.0,0.0,Mostly Cloudy,52.06,2012-05-07 22:00:00,6.216,5.26
green,0.0,0.0,Mostly Cloudy,52.19,2012-05-07 23:00:00,6.216,5.12
green,0.001,0.11,Mostly Cloudy,51.17,2012-05-08 00:00:00,6.216,7.53
green,0.003,0.1,Mostly Cloudy,51.0,2012-05-08 01:00:00,6.216,6.58
green,0.008,0.69,Drizzle,51.06,2012-05-08 02:00:00,6.216,6.99
green,0.006,0.57,Possible Drizzle,51.03,2012-05-08 03:00:00,6.216,7.17
green,0.004,0.28,Mostly Cloudy,50.54,2012-05-08 04:00:00,6.216,4.77
green,0.003,0.57,Possible Drizzle,50.56,2012-05-08 05:00:00,6.216,5.87
green,0.003,0.39,Possible Drizzle,50.37,2012-05-08 06:00:00,5.717,4.4
green,0.008,0.59,Possible Drizzle,50.96,2012-05-08 07:00:00,5.717,5.99
green,0.001,0.18,Mostly Cloudy,51.93,2012-05-08 08:00:00,5.653,4.05
green,0.0,0.0,Mostly Cloudy,53.77,2012-05-08 09:00:00,6.216,6.6
green,0.0,0.0,Mostly Cloudy,56.09,2012-05-08 10:00:00,6.216,7.22
green,0.0,0.0,Mostly Cloudy,56.41,2012-05-08 11:00:00,6.216,7.51
yellow,0.0,0.0,Overcast,56.87,2012-06-07 22:00:00,6.216,9.62
yellow,0.0,0.0,Overcast,56.76,2012-06-07 23:00:00,6.216,9.03
yellow,0.0,0.0,Overcast,56.66,2012-06-08 00:00:00,6.216,10.69
yellow,0.0,0.0,Partly Cloudy,55.62,2012-06-08 01:00:00,6.216,11.97
yellow,0.0,0.0,Partly Cloudy,55.47,2012-06-08 02:00:00,6.216,11.81
yellow,0.0,0.0,Mostly Cloudy,55.37,2012-06-08 03:00:00,6.216,14.7
yellow,0.0,0.0,Mostly Cloudy,55.25,2012-06-08 04:00:00,6.216,14.89
yellow,0.0,0.0,Mostly Cloudy,55.45,2012-06-08 05:00:00,6.216,14.45
yellow,0.001,0.05,Mostly Cloudy,54.78,2012-06-08 06:00:00,6.209,16.1
yellow,0.005,0.2,Mostly Cloudy,54.91,2012-06-08 07:00:00,6.216,15.78
yellow,0.014,0.33,Possible Drizzle,54.68,2012-06-08 08:00:00,5.042,18.1
yellow,0.023,0.88,Light Rain,54.98,2012-06-08 09:00:00,5.717,16.71
yellow,0.006,0.52,Possible Drizzle,55.93,2012-06-08 10:00:00,5.717,18.39
yellow,0.013,0.7,Drizzle,55.43,2012-06-08 11:00:00,5.778,17.02
yellow,0.012,0.7,Drizzle,56.02,2012-06-08 12:00:00,5.977,17.3
yellow,0.008,0.49,Possible Drizzle,55.77,2012-06-08 13:00:00,6.216,17.1
yellow,0.005,0.92,Drizzle,56.42,2012-06-08 14:00:00,6.216,16.49
yellow,0.0,0.0,Mostly Cloudy,56.57,2012-06-08 15:00:00,6.216,18.51
yellow,0.0,0.0,Mostly Cloudy,57.01,2012-06-08 16:00:00,6.216,17.76
yellow,0.001,0.19,Mostly Cloudy,57.1,2012-06-08 17:00:00,6.216,18.16
yellow,0.0,0.0,Mostly Cloudy,56.57,2012-06-08 18:00:00,6.216,16.48
