color,precipIntensity,precipProbability,summary,temperature,timestamp,visibility,windSpeed
green,0.0,0.0,Mostly Cloudy,37.63,2014-01-14 09:00:00,6.216,5.83
green,0.0,0.0,Partly Cloudy,38.22,2014-01-14 10:00:00,6.216,4.77
green,0.0,0.0,Partly Cloudy,39.69,2014-01-14 11:00:00,6.216,6.75
green,0.0,0.0,Clear,41.54,2014-01-14 12:00:00,6.216,7.33
green,0.0,0.0,Partly Cloudy,42.75,2014-01-14 13:00:00,6.216,4.88
green,0.0,0.0,Partly Cloudy,43.25,2014-01-14 14:00:00,6.216,6.36
green,0.0,0.0,Partly Cloudy,41.95,2014-01-14 15:00:00,6.216,4.76
green,0.0,0.0,Partly Cloudy,40.46,2014-01-14 16:00:00,6.216,4.37
green,0.0,0.0,Mostly Cloudy,38.45,2014-01-14 17:00:00,6.209,3.63
green,0.0,0.0,Partly Cloudy,38.14,2014-01-14 18:00:00,6.216,4.69
green,0.0,0.0,Overcast,38.51,2014-01-14 19:00:00,6.216,5.19
green,0.0,0.0,Overcast,39.42,2014-01-14 20:00:00,6.208,4.33
green,0.0,0.0,Partly Cloudy,39.89,2014-01-14 21:00:00,6.216,5.52
green,0.0,0.0,Mostly Cloudy,40.44,2014-01-14 22:00:00,6.216,4.95
green,0.0,0.0,Partly Cloudy,40.45,2014-01-14 23:00:00,6.216,4.41
green,0.001,0.24,Mostly Cloudy,40.86,2014-01-15 00:00:00,6.216,6.89
green,0.005,0.44,Possible Drizzle,41.61,2014-01-15 01:00:00,6.216,9.15
green,0.016,1.0,Light Rain,42.4,2014-01-15 02:00:00,6.216,9.75
green,0.022,1.0,Light Rain,42.66,2014-01-15 03:00:00,6.216,7.79
green,0.003,0.49,Possible Drizzle,43.38,2014-01-15 04:00:00,6.216,7.19
green,0.007,0.73,Drizzle,43.57,2014-01-15 05:00:00,6.216,5.46
green,0.013,1.0,Drizzle,44.64,2014-01-15 06:00:00,6.216,6.34
green,0.013,1.0,Drizzle,45.75,2014-01-15 07:00:00,6.216,5.17
green,0.014,0.72,Drizzle,46.71,2014-01-15 08:00:00,5.042,7.38
green,0.004,0.71,Drizzle,47.93,2014-01-15 09:00:00,6.216,7.93
green,0.0,0.0,Mostly Cloudy,48.64,2014-01-15 10:00:00,6.216,7.5
green,0.0,0.0,Mostly Cloudy,49.81,2014-01-15 11:00:00,6.216,8.0
green,0.0,0.0,Mostly Cloudy,50.01,2014-01-15 12:00:00,6.216,7.73
green,0.0,0.0,Mostly Cloudy,50.71,2014-01-15 13:00:00,5.614,7.59
green,0.0,0.0,Mostly Cloudy,51.57,2014-01-15 14:00:00,6.216,7.68
green,0.0,0.0,Mostly Cloudy,51.76,2014-01-15 15:00:00,6.216,8.1
green,0.0,0.0,Overcast,50.59,2014-01-15 16:00:00,6.216,7.46
green,0.0,0.0,Overcast,49.3,2014-01-15 17:00:00,6.216,7.49
green,0.0,0.0,Mostly Cloudy,49.02,2014-01-15 18:00:00,6.216,5.41
green,0.0,0.0,Mostly Cloudy,48.72,2014-01-15 19:00:00,6.216,7.56
