color,precipIntensity,precipProbability,summary,temperature,timestamp,visibility,windSpeed
green,0.0,0.0,Overcast,44.14,2016-11-06 13:00:00,6.216,8.53
green,0.004,0.7,Drizzle,41.79,2016-11-06 14:00:00,6.216,7.21
green,0.017,0.88,Light Rain,40.54,2016-11-06 15:00:00,6.216,7.03
green,0.018,0.87,Light Rain,40.91,2016-11-06 16:00:00,6.216,6.1
green,0.008,0.73,Drizzle,40.92,2016-11-06 17:00:00,5.909,7.18
green,0.012,0.61,Possible Drizzle,41.02,2016-11-06 18:00:00,6.216,6.28
green,0.011,0.64,Possible Drizzle,40.96,2016-11-06 19:00:00,5.225,8.11
green,0.018,0.71,Light Rain,41.52,2016-11-06 20:00:00,5.977,8.4
green,0.027,1.0,Light Rain,42.13,2016-11-06 21:00:00,6.216,7.58
green,0.008,0.79,Drizzle,42.6,2016-11-06 22:00:00,6.216,7.86
green,0.004,0.51,Possible Drizzle,42.64,2016-11-06 23:00:00,6.216,8.19
green,0.001,0.39,Possible Drizzle,42.31,2016-11-07 00:00:00,6.216,7.07
green,0.002,0.5,Possible Drizzle,42.44,2016-11-07 01:00:00,6.216,7.3
green,0.002,0.53,Possible Drizzle,42.26,2016-11-07 02:00:00,6.216,7.13
green,0.001,0.29,Partly Cloudy,42.46,2016-11-07 03:00:00,6.216,7.23
green,0.0,0.0,Partly Cloudy,41.71,2016-11-07 04:00:00,6.216,5.83
green,0.0,0.0,Partly Cloudy,41.56,2016-11-07 05:00:00,6.216,7.13
green,0.001,0.1,Partly Cloudy,41.77,2016-11-07 06:00:00,6.216,6.86
green,0.001,0.12,Mostly Cloudy,41.14,2016-11-07 07:00:00,6.216,8.54
green,0.0,0.0,Partly Cloudy,40.84,2016-11-07 08:00:00,6.216,7.16
green,0.0,0.0,Partly Cloudy,42.13,2016-11-07 09:00:00,6.216,6.84
green,0.0,0.0,Partly Cloudy,44.52,2016-11-07 10:00:00,6.216,7.06
green,0.0,0.0,Partly Cloudy,45.45,2016-11-07 11:00:00,6.216,10.12
green,0.0,0.0,Mostly Cloudy,46.61,2016-11-07 12:00:00,6.216,9.87
green,0.0,0.0,Mostly Cloudy,46.47,2016-11-07 13:00:00,6.216,10.0
green,0.0,0.0,Mostly Cloudy,45.78,2016-11-07 14:00:00,6.216,7.91
green,0.0,0.0,Mostly Cloudy,44.68,2016-11-07 15:00:00,6.216,6.43
green,0.001,0.18,Mostly Cloudy,42.69,2016-11-07 16:00:00,6.216,5.93
green,0.004,0.27,Mostly Cloudy,40.92,2016-11-07 17:00:00,6.216,5.04
green,0.002,0.3,Possible Drizzle,39.66,2016-11-07 18:00:00,6.216,3.79
green,0.0,0.0,Partly Cloudy,38.63,2016-11-07 19:00:00,6.216,4.01
green,0.0,0.0,Partly Cloudy,37.87,2016-11-07 20:00:00,6.216,4.68
green,0.0,0.0,Clear,36.45,2016-11-07 21:00:00,6.216,5.07
green,0.0,0.0,Partly Cloudy,35.97,2016-11-07 22:00:00,6.216,3.08
green,0.0,0.0,Clear,35.41,2016-11-07 23:00:00,6.216,5.09
green,0.0,0.0,Partly Cloudy,34.75,2016-11-08 00:00:00,6.216,3.88
green,0.0,0.0,Mostly Cloudy,34.44,2016-11-08 01:00:00,6.216,2.36
green,0.0,0.0,Overcast,34.65,2016-11-08 02:00:00,6.216,2.56
green,0.0,0.0,Mostly Cloudy,33.5,2016-11-08 03:00:00,6.216,2.71
green,0.0,0.0,Overcast,33.79,2016-11-08 04:00:00,6.216,4.59
green,0.0,0.0,Mostly Cloudy,32.51,2016-11-08 05:00:00,6.216,4.66
green,0.0,0.0,Overcast,32.91,2016-11-08 06:00:00,6.216,3.63
green,0.0,0.0,Mostly Cloudy,31.91,2016-11-08 07:00:00,6.216,3.14
green,0.0,0.0,Partly Cloudy,31.9,2016-11-08 08:00:00,6.216,1.87
green,0.0,0.0,Mostly Cloudy,33.16,2016-11-08 09:00:00,6.216,3.26
green,0.0,0.0,Foggy,40.78,2016-11-11 10:00:00,1.09,0.1
green,0.0,0.0,Partly Cloudy,43.36,2016-11-11 11:00:00,5.726,1.53
green,0.0,0.0,Clear,46.95,2016-11-11 12:00:00,6.216,0.83
green,0.0,0.0,Partly Cloudy,49.14,2016-11-11 13:00:00,6.216,1.0
green,0.0,0.0,Partly Cloudy,49.6,2016-11-11 14:00:00,6.216,0.23
green,0.0,0.0,Clear,48.32,2016-11-11 15:00:00,6.216,0.48
green,0.0,0.0,Clear,44.56,2016-11-11 16:00:00,6.216,0.83
green,0.0,0.0,Clear,40.22,2016-11-11 17:00:00,6.216,1.29
green,0.0,0.0,Mostly Cloudy,38.74,2016-11-11 18:00:00,6.216,1.29
green,0.0,0.0,Partly Cloudy,38.7,2016-11-11 19:00:00,6.216,2.02
green,0.0,0.0,Partly Cloudy,39.53,2016-11-11 20:00:00,6.216,2.88
green,0.0,0.0,Clear,39.45,2016-11-11 21:00:00,6.216,2.29
green,0.0,0.0,Clear,39.56,2016-11-11 22:00:00,6.216,3.41
green,0.0,0.0,Clear,40.24,2016-11-11 23:00:00,6.216,4.39
green,0.0,0.0,Mostly Cloudy,41.32,2016-11-12 00:00:00,6.216,4.71
green,0.0,0.0,Mostly Cloudy,42.42,2016-11-12 01:00:00,6.216,5.92
green,0.0,0.0,Partly Cloudy,43.05,2016-11-12 02:00:00,6.216,6.36
green,0.0,0.0,Partly Cloudy,43.65,2016-11-12 03:00:00,6.216,6.63
green,0.0,0.0,Clear,43.96,2016-11-12 04:00:00,6.216,7.13
green,0.0,0.0,Clear,44.11,2016-11-12 05:00:00,6.216,7.99
green,0.0,0.0,Partly Cloudy,44.11,2016-11-12 06:00:00,6.216,8.73
green,0.004,0.39,Possible Drizzle,44.25,2016-11-12 07:00:00,6.216,8.26
green,0.015,0.96,Drizzle,44.32,2016-11-12 08:00:00,6.216,7.67
green,0.038,0.93,Light Rain,44.44,2016-11-12 09:00:00,5.502,8.16
green,0.054,1.0,Light Rain,44.68,2016-11-12 10:00:00,4.262,9.51
green,0.045,0.93,Light Rain,45.02,2016-11-12 11:00:00,3.982,8.17
green,0.033,1.0,Light Rain,45.86,2016-11-12 12:00:00,4.286,8.31
green,0.02,0.93,Light Rain,46.65,2016-11-12 13:00:00,3.056,6.39
green,0.012,1.0,Drizzle,46.72,2016-11-12 14:00:00,4.095,6.02
green,0.003,0.47,Possible Drizzle,47.39,2016-11-12 15:00:00,4.473,4.78
green,0.006,0.64,Possible Drizzle,47.4,2016-11-12 16:00:00,4.233,4.16
green,0.003,0.47,Possible Drizzle,47.4,2016-11-12 17:00:00,4.473,3.32
green,0.006,0.77,Drizzle,47.39,2016-11-12 18:00:00,3.239,2.38
green,0.004,0.62,Possible Drizzle,47.66,2016-11-12 19:00:00,4.286,1.6
green,0.001,0.24,Overcast,47.0,2016-11-12 20:00:00,3.73,0.54
green,0.0,0.0,Overcast,47.33,2016-11-12 21:00:00,3.108,1.11
green,0.0,0.0,Overcast,48.02,2016-11-12 22:00:00,4.974,3.42
green,0.0,0.0,Mostly Cloudy,47.4,2016-11-12 23:00:00,6.216,4.25
green,0.0,0.0,Overcast,46.63,2016-11-13 00:00:00,6.216,3.28
green,0.0,0.0,Clear,45.33,2016-11-13 01:00:00,6.216,3.73
green,0.0,0.0,Overcast,44.86,2016-11-13 02:00:00,6.216,5.16
green,0.0,0.0,Partly Cloudy,43.54,2016-11-13 03:00:00,6.216,2.57
green,0.0,0.0,Clear,42.36,2016-11-13 04:00:00,5.591,3.24
green,0.0,0.0,Clear,42.15,2016-11-13 05:00:00,6.216,3.88
green,0.0,0.0,Clear,40.89,2016-11-13 06:00:00,6.216,3.86
green,0.0,0.0,Clear,40.66,2016-11-13 07:00:00,6.216,3.93
green,0.0,0.0,Partly Cloudy,41.02,2016-11-13 08:00:00,5.721,3.57
yellow,0.0,0.0,Clear,38.87,2016-11-18 07:00:00,6.216,7.14
yellow,0.0,0.0,Clear,38.51,2016-11-18 08:00:00,6.216,7.46
