,precipIntensity,precipProbability,temperature,windSpeed,label
923,0.002,0.5,54.46,21.66,0
924,0.009000000000000001,0.32,50.52,15.94,0
925,0.0,0.0,49.92,10.51,0
926,0.0,0.0,50.52,12.42,0
927,0.0,0.0,50.07,12.03,0
928,0.0,0.0,49.67,10.52,0
929,0.0,0.0,49.27,11.2,0
930,0.0,0.0,48.37,11.77,0
931,0.0,0.0,48.24,12.64,0
932,0.0,0.0,47.49,10.64,0
933,0.0,0.0,47.32,9.08,0
934,0.0,0.0,45.75,7.75,0
935,0.0,0.0,47.01,8.69,0
936,0.0,0.0,47.21,7.83,0
937,0.0,0.0,47.3,7.85,0
938,0.003,0.28,48.22,8.23,0
939,0.018000000000000002,0.9,49.32,10.61,0
940,0.037000000000000005,1.0,51.55,12.36,0
941,0.002,0.36,54.53,15.73,0
942,0.0,0.0,55.27,17.26,0
943,0.0,0.0,55.57,16.92,0
944,0.0,0.0,56.48,17.43,0
945,0.0,0.0,56.72,16.56,0
946,0.0,0.0,56.61,15.91,0
947,0.0,0.0,56.58,16.78,0
948,0.0,0.0,55.66,17.79,0
949,0.0,0.0,55.64,15.24,0
950,0.0,0.0,55.5,17.36,0
951,0.0,0.0,54.52,16.98,0
952,0.0,0.0,55.06,16.32,0
953,0.0,0.0,55.03,19.33,0
954,0.0,0.0,55.36,19.82,0
955,0.0,0.0,55.9,20.11,0
956,0.0,0.0,56.54,21.22,1
957,0.001,0.07,56.47,19.78,1
958,0.01,0.18,56.27,19.89,1
959,0.026000000000000002,0.45,54.12,21.09,1
960,0.081,1.0,51.6,15.47,1
961,0.023,1.0,51.2,14.59,1
962,0.013000000000000001,0.93,49.89,14.09,1
963,0.0,0.0,48.17,12.59,1
964,0.0,0.0,47.67,11.14,1
965,0.0,0.0,47.59,13.8,0
966,0.0,0.0,48.99,14.81,0
967,0.0,0.0,50.16,15.92,0
968,0.0,0.0,51.45,19.04,0
969,0.0,0.0,51.81,18.54,0
970,0.0,0.0,51.71,15.35,0
971,0.0,0.0,51.2,16.34,0
972,0.0,0.0,48.51,16.32,0
973,0.0,0.0,47.18,10.9,0
974,0.0,0.0,46.86,13.59,0
975,0.0,0.0,46.65,12.1,0
976,0.0,0.0,46.45,12.04,0
977,0.0,0.0,46.24,13.02,0
978,0.0,0.0,45.98,12.76,0
979,0.0,0.0,46.13,13.81,0
980,0.0,0.0,46.63,12.93,0
981,0.0,0.0,46.32,11.81,0
982,0.0,0.0,45.94,12.22,0
983,0.0,0.0,45.68,12.67,0
984,0.0,0.0,44.69,12.46,0
985,0.0,0.0,44.83,10.72,0
986,0.0,0.0,44.53,11.13,0
987,0.0,0.0,44.49,9.89,0
988,0.0,0.0,45.98,14.01,0
989,0.0,0.0,47.66,15.09,0
990,0.0,0.0,48.26,18.87,0
