color,precipIntensity,precipProbability,summary,temperature,timestamp,visibility,windSpeed
yellow,0.0,0.0,Partly Cloudy,47.62,2009-11-15 09:00:00,6.216,4.62
yellow,0.0,0.0,Partly Cloudy,50.06,2009-11-15 10:00:00,6.216,8.16
green,0.0,0.0,Partly Cloudy,52.58,2009-11-15 11:00:00,6.216,10.14
green,0.0,0.0,Partly Cloudy,54.09,2009-11-15 12:00:00,6.216,10.22
green,0.0,0.0,Partly Cloudy,55.15,2009-11-15 13:00:00,6.216,10.8
green,0.0,0.0,Partly Cloudy,55.39,2009-11-15 14:00:00,6.216,9.34
green,0.0,0.0,Partly Cloudy,55.05,2009-11-15 15:00:00,6.216,7.91
green,0.0,0.0,Partly Cloudy,53.05,2009-11-15 16:00:00,6.216,5.27
green,0.0,0.0,Clear,51.13,2009-11-15 17:00:00,6.216,5.36
green,0.0,0.0,Clear,49.39,2009-11-15 18:00:00,6.216,4.8
green,0.0,0.0,Clear,48.21,2009-11-15 19:00:00,6.216,6.1
green,0.0,0.0,Clear,47.77,2009-11-15 20:00:00,6.216,4.54
green,0.0,0.0,Clear,46.59,2009-11-15 21:00:00,6.216,4.48
green,0.0,0.0,Clear,45.32,2009-11-15 22:00:00,6.216,3.71
green,0.0,0.0,Clear,45.07,2009-11-15 23:00:00,6.216,4.38
green,0.0,0.0,Clear,45.14,2009-11-16 00:00:00,6.216,5.71
green,0.0,0.0,Clear,45.19,2009-11-16 01:00:00,6.216,6.6
green,0.0,0.0,Clear,46.27,2009-11-16 02:00:00,6.216,6.13
green,0.0,0.0,Clear,46.84,2009-11-16 03:00:00,6.216,6.04
green,0.0,0.0,Clear,48.32,2009-11-16 04:00:00,6.216,8.9
green,0.0,0.0,Partly Cloudy,49.13,2009-11-16 05:00:00,6.216,8.21
green,0.0,0.0,Mostly Cloudy,50.22,2009-11-16 06:00:00,6.216,12.25
green,0.0,0.0,Mostly Cloudy,50.84,2009-11-16 07:00:00,6.216,13.98
green,0.008,0.59,Possible Drizzle,51.56,2009-11-16 08:00:00,4.13,15.22
green,0.052,1.0,Light Rain,52.05,2009-11-16 09:00:00,6.216,12.03
green,0.018,0.94,Light Rain,54.04,2009-11-16 10:00:00,6.216,12.01
green,0.001,0.15,Mostly Cloudy,56.0,2009-11-16 11:00:00,6.216,18.61
green,0.0,0.0,Mostly Cloudy,55.52,2009-11-16 12:00:00,6.216,21.49
yellow,0.0,0.0,Partly Cloudy,55.38,2009-11-16 13:00:00,6.216,20.78
yellow,0.0,0.0,Partly Cloudy,55.17,2009-11-16 14:00:00,6.216,20.42
yellow,0.0,0.0,Partly Cloudy,54.61,2009-11-16 15:00:00,6.216,13.7
yellow,0.0,0.0,Partly Cloudy,53.71,2009-11-16 16:00:00,6.216,14.52
yellow,0.0,0.0,Partly Cloudy,53.02,2009-11-16 17:00:00,6.216,14.37
yellow,0.0,0.0,Partly Cloudy,52.2,2009-11-16 18:00:00,6.216,12.81
yellow,0.0,0.0,Partly Cloudy,52.09,2009-11-16 19:00:00,6.216,14.89
yellow,0.0,0.0,Partly Cloudy,51.61,2009-11-16 20:00:00,6.216,14.79
green,0.0,0.0,Clear,50.33,2009-11-16 21:00:00,6.216,13.01
green,0.0,0.0,Clear,49.72,2009-11-16 22:00:00,6.216,11.62
green,0.0,0.0,Clear,49.64,2009-11-16 23:00:00,6.216,11.57
green,0.0,0.0,Clear,49.19,2009-11-17 00:00:00,6.216,11.01
green,0.0,0.0,Clear,48.65,2009-11-17 01:00:00,6.216,13.25
green,0.0,0.0,Clear,48.38,2009-11-17 02:00:00,6.216,9.36
green,0.0,0.0,Clear,48.55,2009-11-17 03:00:00,6.216,11.2
green,0.0,0.0,Clear,48.58,2009-11-17 04:00:00,6.216,11.25
green,0.0,0.0,Clear,48.34,2009-11-17 05:00:00,6.216,10.15
green,0.0,0.0,Clear,47.73,2009-11-17 06:00:00,6.216,8.49
green,0.0,0.0,Clear,47.12,2009-11-17 07:00:00,6.216,9.7
green,0.0,0.0,Clear,46.54,2009-11-17 08:00:00,6.216,8.4
