,precipIntensity,precipProbability,temperature,windSpeed,label
1046,0.0215,0.99,51.22,22.47,1
1047,0.004,0.02,49.42,23.03,1
1048,0.0102,1.0,49.45,17.71,1
1049,0.0,0.0,47.6,16.75,1
1050,0.0,0.0,47.19,17.92,1
1051,0.0,0.0,45.44,18.67,1
1052,0.003,0.04,45.26,21.32,1
1053,0.0065,1.0,43.96,19.79,1
1054,0.0,0.0,45.44,19.32,1
1055,0.004,0.53,47.15,29.23,1
1056,0.0033,0.15,46.86,24.31,1
1057,0.0,0.0,46.97,19.16,1
1058,0.0,0.0,49.41,23.68,1
1059,0.0,0.0,50.56,26.31,1
1060,0.0,0.0,50.43,26.48,1
1061,0.0,0.0,50.45,13.54,1
1062,0.004,0.42,50.94,21.48,1
1063,0.0,0.0,52.6,21.4,1
1064,0.0,0.0,52.35,24.05,1
1065,0.0215,1.0,49.62,52.51,1
1066,0.009000000000000001,1.0,49.03,43.14,1
1067,0.0168,1.0,46.85,18.74,0
1068,0.0,0.0,46.76,15.17,0
1069,0.0,0.0,45.38,20.39,0
1070,0.0723,1.0,45.77,19.23,0
1071,0.0065,0.19,45.87,22.83,0
1072,0.0,0.0,43.81,23.91,0
1073,0.0128,0.97,43.42,19.05,0
1074,0.0,0.0,43.22,17.65,0
1075,0.0,0.0,43.3,13.98,0
1076,0.0,0.0,43.58,11.62,0
1077,0.0,0.0,44.46,12.7,0
1078,0.0,0.0,44.57,13.03,0
1079,0.0,0.0,47.39,12.81,0
1080,0.0235,0.98,49.29,15.13,0
1081,0.0,0.0,49.16,12.33,0
1082,0.005,0.09,50.75,11.54,0
1083,0.005,0.36,52.58,12.69,0
1084,0.005,0.01,53.11,12.18,0
1085,0.0,0.0,54.71,11.71,0
1086,0.0,0.0,55.89,12.57,0
1087,0.0,0.0,54.57,11.18,0
1088,0.0,0.0,53.48,11.22,0
1089,0.0,0.0,52.16,8.13,0
1090,0.0,0.0,50.24,8.09,0
1091,0.0,0.0,47.68,6.16,0
1092,0.0,0.0,45.15,4.43,0
1093,0.0,0.0,44.22,2.76,0
1094,0.0,0.0,41.99,2.29,0
1095,0.0,0.0,40.47,1.04,0
1096,0.0,0.0,39.29,2.74,0
1097,0.0,0.0,38.07,2.24,0
1098,0.0,0.0,37.03,1.73,0
1099,0.0,0.0,34.85,1.92,0
1100,0.0,0.0,38.35,0.69,0
1101,0.0,0.0,40.24,1.38,0
1102,0.0,0.0,42.09,1.39,0
1103,0.0,0.0,46.06,2.19,0
1104,0.0,0.0,49.21,2.36,0
1105,0.0,0.0,50.81,2.21,0
1106,0.0,0.0,51.73,1.12,0
1107,0.0,0.0,54.17,5.11,0
1108,0.0,0.0,56.49,3.59,0
1109,0.0,0.0,56.63,0.71,0
1110,0.0,0.0,57.11,3.24,0
1111,0.0,0.0,57.05,3.33,0
1112,0.0,0.0,57.23,2.66,0
1113,0.0,0.0,55.07,5.29,0
1114,0.0,0.0,53.43,5.52,0
1115,0.0,0.0,51.85,7.2,0
1116,0.0,0.0,49.52,6.95,0
1117,0.0,0.0,48.15,6.29,0
1118,0.0,0.0,45.67,3.82,0
1119,0.0,0.0,44.39,4.82,0
1120,0.0,0.0,41.21,5.46,0
1121,0.0,0.0,41.02,2.77,0
1122,0.0,0.0,37.81,2.94,0
1123,0.0,0.0,37.34,2.68,0
1124,0.0,0.0,38.4,2.19,0
1125,0.0,0.0,38.04,3.11,0
1126,0.0,0.0,40.2,1.23,0
1127,0.0,0.0,44.46,1.87,0
1128,0.0,0.0,49.92,1.56,0
1129,0.0,0.0,50.89,1.09,0
1130,0.0,0.0,52.73,0.46,0
1131,0.0,0.0,53.45,1.96,0
1132,0.0,0.0,54.93,1.54,0
1133,0.0,0.0,56.65,3.84,0
1134,0.0,0.0,57.41,3.47,0
1135,0.0,0.0,58.18,2.91,0
1136,0.0,0.0,58.23,4.17,0
1137,0.0,0.0,58.32,2.9,0
1138,0.0,0.0,53.6,2.1,0
1139,0.0,0.0,53.03,3.71,0
