color,precipIntensity,precipProbability,summary,temperature,timestamp,visibility,windSpeed
yellow,0.0,0.0,Partly Cloudy,45.57,2015-11-13 18:00:00,6.216,10.44
yellow,0.0,0.0,Clear,44.79,2015-11-13 19:00:00,6.216,10.22
yellow,0.0,0.0,Clear,43.99,2015-11-13 20:00:00,6.216,9.18
yellow,0.0,0.0,Clear,43.65,2015-11-13 21:00:00,6.216,9.84
yellow,0.0,0.0,Clear,44.26,2015-11-13 22:00:00,6.216,10.44
yellow,0.0,0.0,Clear,44.31,2015-11-13 23:00:00,6.216,10.39
green,0.0,0.0,Clear,44.3,2015-11-14 00:00:00,6.216,9.91
green,0.0,0.0,Clear,44.46,2015-11-14 01:00:00,6.216,10.04
green,0.0,0.0,Clear,43.94,2015-11-14 02:00:00,6.216,8.49
green,0.0,0.0,Clear,43.68,2015-11-14 03:00:00,6.216,8.1
green,0.0,0.0,Clear,43.23,2015-11-14 04:00:00,6.216,7.74
green,0.0,0.0,Clear,43.22,2015-11-14 05:00:00,6.216,7.5
green,0.0,0.0,Clear,43.07,2015-11-14 06:00:00,6.216,7.2
green,0.0,0.0,Partly Cloudy,44.08,2015-11-14 07:00:00,6.216,9.06
green,0.0,0.0,Partly Cloudy,44.89,2015-11-14 08:00:00,6.216,8.67
green,0.0,0.0,Clear,45.93,2015-11-14 09:00:00,6.216,7.42
green,0.0,0.0,Partly Cloudy,46.95,2015-11-14 10:00:00,6.216,8.69
green,0.001,0.08,Partly Cloudy,47.82,2015-11-14 11:00:00,6.216,8.6
green,0.0,0.0,Partly Cloudy,49.05,2015-11-14 12:00:00,6.216,8.7
green,0.0,0.0,Mostly Cloudy,49.18,2015-11-14 13:00:00,6.216,8.5
green,0.0,0.0,Mostly Cloudy,49.04,2015-11-14 14:00:00,6.216,7.99
green,0.028,0.95,Light Rain,48.3,2015-11-14 15:00:00,6.216,8.26
green,0.026,0.38,Possible Light Rain,48.72,2015-11-14 16:00:00,5.717,9.89
yellow,0.018,0.88,Light Rain,51.72,2015-11-14 17:00:00,6.216,11.52
yellow,0.0,0.0,Overcast,54.08,2015-11-14 18:00:00,5.778,12.89
yellow,0.0,0.0,Mostly Cloudy,55.39,2015-11-14 19:00:00,6.216,13.5
yellow,0.0,0.0,Mostly Cloudy,56.58,2015-11-14 20:00:00,6.216,14.14
yellow,0.0,0.0,Overcast,56.86,2015-11-14 21:00:00,6.216,14.32
yellow,0.0,0.0,Overcast,57.71,2015-11-14 22:00:00,6.216,14.99
yellow,0.0,0.0,Overcast,57.91,2015-11-14 23:00:00,6.216,16.16
yellow,0.0,0.0,Overcast,58.64,2015-11-15 00:00:00,6.216,16.05
yellow,0.0,0.0,Overcast,58.87,2015-11-15 01:00:00,6.216,16.46
yellow,0.0,0.0,Mostly Cloudy,58.94,2015-11-15 02:00:00,6.216,15.9
yellow,0.0,0.0,Overcast,58.93,2015-11-15 03:00:00,6.216,16.96
yellow,0.0,0.0,Overcast,58.87,2015-11-15 04:00:00,6.216,16.87
yellow,0.0,0.0,Overcast,58.56,2015-11-15 05:00:00,6.216,17.08
yellow,0.0,0.0,Overcast,58.25,2015-11-15 06:00:00,6.216,17.46
yellow,0.0,0.0,Partly Cloudy,58.01,2015-11-15 07:00:00,6.216,17.38
yellow,0.0,0.0,Overcast,58.29,2015-11-15 08:00:00,6.216,18.73
yellow,0.0,0.0,Overcast,58.96,2015-11-15 09:00:00,6.216,20.38
yellow,0.0,0.0,Overcast,59.56,2015-11-15 10:00:00,6.216,19.58
yellow,0.0,0.0,Mostly Cloudy,59.9,2015-11-15 11:00:00,6.216,17.92
yellow,0.0,0.0,Overcast,60.64,2015-11-15 12:00:00,6.216,19.3
yellow,0.0,0.0,Overcast,60.59,2015-11-15 13:00:00,6.216,16.47
yellow,0.0,0.0,Mostly Cloudy,60.46,2015-11-15 14:00:00,6.216,15.41
yellow,0.0,0.0,Mostly Cloudy,60.15,2015-11-15 15:00:00,6.216,14.69
yellow,0.0,0.0,Overcast,59.11,2015-11-15 16:00:00,6.216,14.48
yellow,0.0,0.0,Mostly Cloudy,58.87,2015-11-15 17:00:00,6.216,13.7
yellow,0.0,0.0,Mostly Cloudy,58.37,2015-11-15 18:00:00,6.216,13.13
yellow,0.0,0.0,Mostly Cloudy,58.15,2015-11-15 19:00:00,6.216,11.63
yellow,0.0,0.0,Overcast,57.52,2015-11-15 20:00:00,6.216,10.67
yellow,0.0,0.0,Overcast,57.26,2015-11-15 21:00:00,6.216,11.07
yellow,0.0,0.0,Overcast,56.72,2015-11-15 22:00:00,6.216,10.54
yellow,0.0,0.0,Overcast,56.65,2015-11-15 23:00:00,6.216,13.21
yellow,0.0,0.0,Overcast,56.27,2015-11-16 00:00:00,6.216,12.96
yellow,0.0,0.0,Mostly Cloudy,55.9,2015-11-16 01:00:00,6.216,14.27
yellow,0.0,0.0,Mostly Cloudy,56.21,2015-11-16 02:00:00,6.216,14.9
yellow,0.0,0.0,Mostly Cloudy,56.63,2015-11-16 03:00:00,6.216,14.66
yellow,0.0,0.0,Overcast,56.91,2015-11-16 04:00:00,6.216,14.59
yellow,0.0,0.0,Overcast,56.62,2015-11-16 05:00:00,6.216,12.48
yellow,0.0,0.0,Mostly Cloudy,55.85,2015-11-16 06:00:00,6.208,11.13
yellow,0.0,0.0,Partly Cloudy,53.95,2015-11-16 07:00:00,6.216,8.18
green,0.0,0.0,Partly Cloudy,53.54,2015-11-16 08:00:00,6.216,9.26
green,0.0,0.0,Partly Cloudy,53.3,2015-11-16 09:00:00,6.216,10.06
green,0.0,0.0,Mostly Cloudy,53.46,2015-11-16 10:00:00,6.216,8.07
green,0.0,0.0,Mostly Cloudy,54.46,2015-11-16 11:00:00,6.216,9.9
green,0.0,0.0,Mostly Cloudy,54.4,2015-11-16 12:00:00,6.216,9.7
green,0.0,0.0,Mostly Cloudy,54.72,2015-11-16 13:00:00,6.216,10.53
green,0.0,0.0,Mostly Cloudy,54.4,2015-11-16 14:00:00,6.216,9.52
green,0.0,0.0,Mostly Cloudy,53.49,2015-11-16 15:00:00,6.216,7.88
green,0.0,0.0,Mostly Cloudy,52.18,2015-11-16 16:00:00,6.216,5.26
green,0.0,0.0,Mostly Cloudy,51.55,2015-11-16 17:00:00,6.216,5.87
green,0.0,0.0,Partly Cloudy,51.31,2015-11-16 18:00:00,6.216,6.33
green,0.0,0.0,Mostly Cloudy,51.16,2015-11-16 19:00:00,6.216,9.17
green,0.0,0.0,Mostly Cloudy,51.41,2015-11-16 20:00:00,6.216,6.85
green,0.0,0.0,Overcast,51.49,2015-11-16 21:00:00,6.216,5.03
green,0.011,0.66,Drizzle,50.26,2015-11-16 22:00:00,6.206,4.39
green,0.019,0.92,Light Rain,50.19,2015-11-16 23:00:00,6.216,3.52
green,0.007,0.65,Drizzle,50.5,2015-11-17 00:00:00,6.216,3.69
green,0.006,0.39,Possible Drizzle,51.4,2015-11-17 01:00:00,6.206,3.78
